"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"anyth yeah",0,1,2,0,0,1,0,0,2,0,1,1,1,0,0,0,0,2
"anyway",13,27,8,15,12,10,10,7,6,12,6,7,9,5,3,11,3,2
"anyway yeah",0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
"anywher",2,5,5,4,7,8,1,0,2,5,7,6,3,4,2,3,4,1
"apart",2,4,0,4,2,1,1,3,0,1,3,0,2,5,5,2,2,5
"apiec",0,0,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0
"apolog",2,6,2,4,4,6,5,7,4,2,15,12,1,4,2,1,8,1
"appar",1,10,7,4,8,7,5,8,10,3,5,7,8,7,4,3,9,1
"appeal",0,1,0,0,0,0,2,3,2,0,0,0,2,0,0,0,1,1
"appear",3,10,6,4,7,6,14,10,7,12,12,7,13,16,6,9,5,13
"appl",5,2,5,0,1,0,0,2,2,0,4,1,0,3,25,2,0,0
"applaus",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0
"appli",0,1,1,2,2,3,0,0,0,1,1,0,3,0,1,2,2,0
"appoint",0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,6,0
"appreci",0,4,2,3,3,2,2,2,0,0,1,5,1,1,2,1,4,3
"approach",1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,0
"appropri",1,1,2,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0
"approv",0,0,0,1,1,2,1,2,0,2,4,1,7,1,0,3,0,2
"approxim",0,2,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
"area",0,3,2,0,6,0,4,5,2,10,3,3,2,3,5,5,0,2
"arent",9,19,14,23,8,20,16,20,10,17,35,31,27,28,18,20,13,13
"arent even",1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0
"arent get",0,0,0,0,1,0,0,0,1,0,1,0,0,2,2,1,1,0
"arent go",0,1,1,2,0,0,0,0,0,3,4,2,1,3,0,2,0,0
"arent gonna",0,1,1,1,0,1,3,2,1,1,1,2,1,1,1,2,0,2
"arent good",0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0
"arent one",0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0
"arent real",1,0,0,1,0,0,0,0,2,0,4,0,0,0,0,1,0,0
"arent realli",0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1
"argh",1,3,3,1,0,1,0,2,0,1,0,2,0,0,0,0,0,0
"argu",0,0,0,0,1,1,1,2,2,1,1,2,0,0,0,0,0,0
"argument",0,8,1,5,0,0,0,0,3,0,0,0,1,0,1,0,1,0
"arm",12,5,4,3,4,1,10,2,3,1,0,5,4,7,9,6,3,1
"arm leg",0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,1,1
"armi",1,4,7,1,0,2,0,0,24,0,0,1,1,0,2,0,8,1
